nome,quantidade,valor_de_compra,valor_de_venda,ludopedia
32847 - Cadê o Cadu? - Cx c/ 04 Unidades -,4,R$52.07,"R$99,99",https://ludopedia.com.br/jogo/cade-o-cadu
31004 - Cães Pop - Batalha de Likes - Cx c/ 04 Unidades -----Preço Reduzido!,4,R$18.22,R$36.99,https://ludopedia.com.br/jogo/caes-pop-batalha-de-likes
32410 - Color Addict Cartucho- Cx c/ 12 Unidades -,12,R$11.45,"R$24,99",https://ludopedia.com.br/jogo/color-addict
31092 - Dig In - Encontre se for capaz Cx c/04 unidades ( JOGO TOP ),4,R$72.89,R$139.99,https://ludopedia.com.br/jogo/dig-in-encontre-se-for-capaz
33835 - Enquadrados - Cx c/ 04 Unidades -,4,R$41.65,R$79.99,https://ludopedia.com.br/jogo/enquadrados
99442 - Harry Potter: Desafio Das Horcruxes -( Cx. com 12 unidades) -( JOGO TOP ),12,R$13.01,"R$26,99",https://ludopedia.com.br/jogo/harry-potter-desafio-das-horcruxes
34070 - JGS BRINQ CARTON - EU VI! - SPIDEY (CAIXA COM 12 UNIDADES) - NOVIDADE 2024,12,R$13.00,"R$25,99",https://ludopedia.com.br/jogo/eu-vi-spidey
34231 - JGS BRINQ CARTON - EU VI! - STITCH (CAIXA COM 12 UNIDADES) - NOVIDADE 2024,12,R$13.01,"R$25,99",https://ludopedia.com.br/jogo/eu-vi-stitch
30767 - Jogo Mico Cartas Gigantes - Cx c/ 06 unidades -,6,R$17.18,R$34.99,https://ludopedia.com.br/jogo/jogo-do-mico
32845 - Mentalista -Cx c/ 04 unidades -,4,R$31.24,R$64.99,https://ludopedia.com.br/jogo/mentalista
32313 - Minions 2 - 4 jogos em 1 - Cx c/ 06 unidades -,6,R$15.62,R$29.99,https://ludopedia.com.br/jogo/uno-minions
31419 - Mortes Estúpidas - Cx c/ 04 Unidades -,4,R$52.07,R$104.99,https://ludopedia.com.br/jogo/mortes-estupidas
31363 - Patrulha Canina 6 jogos em 1 - Cx c/ 06 Unidade -,6,R$15.62,R$29.99,https://ludopedia.com.br/jogo/patrulha-canina-jogo-dos-quartetos
34970 - REVANCHE CX C/ Unidades - NOVIDADE 2024,4,R$187.43,"R$92,99",https://ludopedia.com.br/jogo/revanche-futebol-cards
31553 - Sequence -( Cx. c/ 04 unidades ) - ( não pode faltar! ),4,R$62.48,R$124.99,https://ludopedia.com.br/jogo/sequence
"30625 - Trapped, Escape se Puder - Missão Banco -Cx c/ 04 und",4,R$36.44,R$72.99,https://ludopedia.com.br/jogo/-trapped-the-bank-job
URBS,4,,"R$90,99",https://ludopedia.com.br/jogo/urbs
