nome,quantidade,valor_de_compra,valor_de_venda,ludopedia
GRK0101 - Dança dos Tronos,1,"R$ 77,94","R$ 129,90",https://ludopedia.com.br/jogo/flip-it-danca-dos-tronos
GRK0103 - Àiyé,1,"R$ 97,44","R$ 159,90",https://ludopedia.com.br/jogo/aiye
GRK0107 - Quartz: o Jogo de Cartas,1,"R$ 51,94","R$ 89,90",https://ludopedia.com.br/jogo/quartz-o-jogo-de-cartas
GRK0113 - É Top!? Brasil,1,"R$ 38,94","R$ 69,90",https://ludopedia.com.br/jogo/e-top-brasil
GRK0116 - Hippocrates - Ágora,1,"R$ 84,44","R$ 139,90",https://ludopedia.com.br/jogo/hippocrates-agora
GRK0117 - Ascension - Edição de 10º Aniversário,1,"R$ 194,94","R$ 309,90",https://ludopedia.com.br/jogo/ascension-10-year-anniversary-edition
GRK0122 - Qu4to,1,"R$ 38,94","R$ 69,90",https://ludopedia.com.br/jogo/qu4to-quato
GRK0136 - Infiltrado,1,"R$ 38,94","R$ 69,90",https://ludopedia.com.br/jogo/the-chameleon?v=
MDL0018 - Quartz,1,"R$ 129,94","R$ 209,90",https://ludopedia.com.br/jogo/quartz
PRM0013 - Coup - Promo Bufão & Burocrata,6,"R$ 12,94","R$ 20,90","https://ludopedia.com.br/jogo/coup-jester-and-bureaucrat-promos#:~:text=Descri%C3%A7%C3%A3o,outro%20jogador%20de%20sua%20escolha)."
